1.91,10.0,-26.0,270.0,10.0,-26.0,270.0,
1.988,8.0,-27.0,268.0,9.0,-26.5,269.0,
2.062,10.0,-28.0,268.0,9.333333,-27.0,268.66666,
2.14,11.0,-28.0,264.0,9.666667,-27.666666,266.66666,
2.215,11.0,-24.0,269.0,10.666667,-26.666666,267.0,
2.291,10.0,-31.0,268.0,10.666667,-27.666666,267.0,
2.367,8.0,-25.0,265.0,9.666667,-26.666666,267.33334,
2.443,10.0,-28.0,264.0,9.333333,-28.0,265.66666,
2.519,9.0,-29.0,269.0,9.0,-27.333334,266.0,
2.594,9.0,-29.0,267.0,9.333333,-28.666666,266.66666,
2.67,11.0,-27.0,267.0,9.666667,-28.333334,267.66666,
2.746,10.0,-26.0,268.0,10.0,-27.333334,267.33334,
2.822,11.0,-28.0,267.0,10.666667,-27.0,267.33334,
2.897,13.0,-27.0,267.0,11.333333,-27.0,267.33334,
2.973,10.0,-28.0,267.0,11.333333,-27.666666,267.0,
3.049,8.0,-26.0,271.0,10.333333,-27.0,268.33334,
3.125,8.0,-32.0,269.0,8.666667,-28.666666,269.0,
3.201,9.0,-27.0,266.0,8.333333,-28.333334,268.66666,
3.276,10.0,-30.0,265.0,9.0,-29.666666,266.66666,
3.352,12.0,-27.0,264.0,10.333333,-28.0,265.0,
3.428,10.0,-27.0,270.0,10.666667,-28.0,266.33334,
3.504,10.0,-28.0,269.0,10.666667,-27.333334,267.66666,
3.579,17.0,-31.0,267.0,12.333333,-28.666666,268.66666,
3.655,10.0,-21.0,270.0,12.333333,-26.666666,268.66666,
3.731,13.0,-24.0,265.0,13.333333,-25.333334,267.33334,
3.807,13.0,-27.0,268.0,12.0,-24.0,267.66666,
3.883,12.0,-25.0,273.0,12.666667,-25.333334,268.66666,
3.96,30.0,-31.0,285.0,18.333334,-27.666666,275.33334,
4.036,83.0,-28.0,262.0,41.666668,-28.0,273.33334,
4.112,24.0,43.0,271.0,45.666668,-5.3333335,272.66666,
4.188,36.0,57.0,254.0,47.666668,24.0,262.33334,
4.263,-23.0,45.0,254.0,12.333333,48.333332,259.66666,
4.339,-47.0,31.0,267.0,-11.333333,44.333332,258.33334,
4.415,-10.0,33.0,259.0,-26.666666,36.333332,260.0,
4.491,-6.0,38.0,257.0,-21.0,34.0,261.0,
4.567,-33.0,38.0,274.0,-16.333334,36.333332,263.33334,
4.642,-21.0,33.0,262.0,-20.0,36.333332,264.33334,
4.718,-21.0,21.0,266.0,-25.0,30.666666,267.33334,
4.794,-29.0,30.0,270.0,-23.666666,28.0,266.0,
4.87,-12.0,27.0,250.0,-20.666666,26.0,262.0,
4.945,22.0,7.0,254.0,-6.3333335,21.333334,258.0,
5.021,47.0,3.0,252.0,19.0,12.333333,252.0,
5.097,80.0,-19.0,267.0,49.666668,-3.0,257.66666,
5.173,34.0,-40.0,267.0,53.666668,-18.666666,262.0,
5.249,29.0,-47.0,265.0,47.666668,-35.333332,266.33334,
5.324,35.0,-39.0,268.0,32.666668,-42.0,266.66666,
5.4,43.0,-42.0,260.0,35.666668,-42.666668,264.33334,
5.476,28.0,-45.0,269.0,35.333332,-42.0,265.66666,
5.552,18.0,-46.0,270.0,29.666666,-44.333332,266.33334,
5.627,34.0,-40.0,262.0,26.666666,-43.666668,267.0,
5.705,29.0,-51.0,282.0,27.0,-45.666668,271.33334,
5.781,49.0,-30.0,260.0,37.333332,-40.333332,268.0,
5.857,87.0,-30.0,221.0,55.0,-37.0,254.33333,
5.933,51.0,-1.0,234.0,62.333332,-20.333334,238.33333,
6.008,-3.0,35.0,277.0,45.0,1.3333334,244.0,
6.084,40.0,32.0,254.0,29.333334,22.0,255.0,
6.16,13.0,60.0,269.0,16.666666,42.333332,266.66666,
6.236,-45.0,35.0,270.0,2.6666667,42.333332,264.33334,
6.311,-31.0,29.0,266.0,-21.0,41.333332,268.33334,
6.387,-11.0,22.0,258.0,-29.0,28.666666,264.66666,
6.463,-11.0,30.0,258.0,-17.666666,27.0,260.66666,
6.539,-17.0,34.0,262.0,-13.0,28.666666,259.33334,
6.615,-31.0,25.0,268.0,-19.666666,29.666666,262.66666,
6.69,-31.0,32.0,266.0,-26.333334,30.333334,265.33334,
6.766,-31.0,27.0,274.0,-31.0,28.0,269.33334,
6.842,-39.0,34.0,263.0,-33.666668,31.0,267.66666,
6.918,41.0,20.0,248.0,-9.666667,27.0,261.66666,
6.993,65.0,13.0,251.0,22.333334,22.333334,254.0,
7.069,115.0,24.0,216.0,73.666664,19.0,238.33333,
7.145,28.0,-24.0,282.0,69.333336,4.3333335,249.66667,
7.221,32.0,-39.0,278.0,58.333332,-13.0,258.66666,
7.297,39.0,-36.0,261.0,33.0,-33.0,273.66666,
7.372,43.0,-36.0,255.0,38.0,-37.0,264.66666,
7.448,31.0,-42.0,270.0,37.666668,-38.0,262.0,
7.524,29.0,-35.0,272.0,34.333332,-37.666668,265.66666,
7.6,34.0,-37.0,264.0,31.333334,-38.0,268.66666,
7.677,23.0,-40.0,270.0,28.666666,-37.333332,268.66666,
7.753,44.0,-27.0,267.0,33.666668,-34.666668,267.0,
